City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
5,Samalkot,IN,88.18,overcast clouds,17.05,82.1833,Hotel Sai Residency
8,Iracoubo,GF,76.21,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
10,Hendersonville,US,83.28,clear sky,36.3048,-86.62,Hyatt Place Nashville/Hendersonville
17,Hasaki,JP,80.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
21,Kasimov,RU,75.78,clear sky,54.9411,41.3953,Hotel Kasimov
24,Baripada,IN,86.86,light rain,21.935,86.7214,Aparna Hotel
29,Tambovka,RU,79.43,scattered clouds,50.0969,128.0489,Lyzhnaya Gorka
34,Karaton,ID,84.9,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
35,Khatanga,RU,80.01,scattered clouds,71.9667,102.5,"""Khatanga"""
42,Selma,US,87.85,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
50,Corinto,GR,86.9,clear sky,37.9407,22.9573,Ephira Hotel
52,Tukrah,LY,81.25,clear sky,32.5341,20.5791,Lagrota restaurant
56,San Patricio,US,85.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
57,Meulaboh,ID,83.35,broken clouds,4.1363,96.1285,Kost Pria
65,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
67,Ponta Do Sol,PT,75.33,clear sky,32.6667,-17.1,Hotel do Campo
76,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Sao Filipe,CV,76.46,light rain,14.8961,-24.4956,Hotel Xaguate
78,Luganville,VU,80.67,few clouds,-15.5333,167.1667,The Espiritu Hotel
82,Atuona,PF,77.41,few clouds,-9.8,-139.0333,Villa Enata
84,Arlit,NE,88.93,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
93,Tel Aviv-Yafo,IL,80.78,scattered clouds,32.0805,34.7805,Ben Yehuda apartments
95,Esil,KZ,76.55,few clouds,51.9556,66.4042,Egorkino Hotel
97,North Platte,US,76.53,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
99,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
103,Ukiah,US,78.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
111,Bodden Town,KY,82.92,overcast clouds,19.2833,-81.25,Will T Place
112,Bhatkal,IN,80.6,overcast clouds,13.9667,74.5667,Nilawar Palace
113,At-Bashi,KG,82.98,scattered clouds,41.1702,75.8106,Hostel At-Bashy
118,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
120,Cabo San Lucas,MX,80.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
122,Qorveh,IR,75.18,clear sky,35.1664,47.8045,بانک مهر ایران
126,Atambua,ID,79.43,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
129,Dothan,US,76.19,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
135,Hilo,US,75.15,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
136,Hue,VN,89.71,few clouds,16.4667,107.6,Saigon Morin Hotel
139,Manacapuru,BR,75.76,broken clouds,-3.2997,-60.6206,Novo Hotel
141,Bethel,US,77.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
142,Ambilobe,MG,78.73,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
148,Auki,SB,82.42,few clouds,-8.7676,160.7034,Auki Motel
151,Piove Di Sacco,IT,76.69,clear sky,45.2977,12.0368,POINT HOTEL Piove di Sacco
157,Acarau,BR,78.33,scattered clouds,-2.8856,-40.12,castelo pizzaria
162,Bengkulu,ID,84.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
165,Kieta,PG,84.13,few clouds,-6.2167,155.6333,Uruna Bay Retreat
166,Puerto Maldonado,PE,76.73,overcast clouds,-12.6,-69.1833,Wasai Hotel
169,Faanui,PF,79.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Kavaratti,IN,81.36,overcast clouds,10.5669,72.642,Green leaf
177,Ahuimanu,US,76.24,clear sky,21.4447,-157.8378,Paradise Bay Resort
181,Ryotsu,JP,77.23,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
182,Russell,US,78.4,scattered clouds,32.3502,-85.1999,Macs
187,Port Blair,IN,84.76,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
188,Alice Springs,AU,80.06,clear sky,-23.7,133.8833,Desert Palms Alice Springs
189,Bubaque,GW,78.73,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
194,Male,MV,82.49,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
196,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
201,Jasper,US,87.85,clear sky,37.2001,-94.3502,Guest House Motel
202,Kloulklubed,PW,75.7,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
207,Altay,CN,76.6,scattered clouds,47.8667,88.1167,Jinqiao Hotel
208,Revda,RU,76.14,few clouds,56.801,59.9303,Gostinitsa Metallurg
210,Nabire,ID,82.13,broken clouds,-3.3667,135.4833,Hotel Nusantara I
213,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
219,Kavieng,PG,84.94,light rain,-2.5744,150.7967,Nusa Island Retreat
225,Maracaibo,VE,79.29,clear sky,10.6317,-71.6406,Motel Aladdin
226,Bull Savanna,JM,75.27,broken clouds,17.8868,-77.5902,Big Red's
228,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
237,Tecolutla,MX,82.53,broken clouds,20.4833,-97.0167,Hotel Plaza Marsol
238,Casale Monferrato,IT,80.53,clear sky,45.1334,8.4571,Hotel Candiani
242,Kijang,KR,85.73,overcast clouds,35.2442,129.2139,Samyang Beach Villa
251,Namatanai,PG,83.05,light rain,-3.6667,152.4333,Seagulls Inn Namatani
253,Hobyo,SO,80.58,broken clouds,5.3505,48.5268,Iftin hotel hobyo
258,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
260,Palimbang,PH,85.69,light rain,6.2106,124.1894,Felmar Beach resort
262,Veraval,IN,83.17,overcast clouds,20.9,70.3667,Lords Inn Somnath
264,Bagnols-Sur-Ceze,FR,75.94,clear sky,44.1599,4.6178,Hôtel Château du Val de Ceze
265,Isabela,PH,87.85,broken clouds,6.7085,121.9711,Isawad Resort
267,Coahuayana,MX,76.21,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
270,Gushikawa,JP,87.66,scattered clouds,26.3544,127.8686,Kirari Guest House
271,Churapcha,RU,81.95,clear sky,62.0025,132.4325,"""Tusku"""
272,Limbang,MY,85.55,broken clouds,4.75,115.0,Purnama Hotel
275,Chatakonda,IN,79.92,overcast clouds,17.55,80.65,Hotel Surya Palace
282,Tuy Hoa,VN,87.98,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
284,Beidao,CN,86.92,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
286,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
287,Hun,LY,76.57,clear sky,29.1268,15.9477,Alrwasi Hotel
289,Puerto Cabello,VE,76.95,scattered clouds,10.4731,-68.0125,Las Palmeras
292,Katsuura,JP,81.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
294,Laguna,US,81.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
295,Kirakira,SB,82.71,few clouds,-10.4544,161.9205,SanBiz Lodge
