City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Dzerzhinskoye,RU,2022-07-24 05:31:19,56.8344,95.2283,73.09,42,32,6.91,scattered clouds,0.0,0.0
1,Aklavik,CA,2022-07-24 05:31:20,68.2191,-135.0107,42.55,86,100,9.48,overcast clouds,0.0,0.0
2,Puerto Ayora,EC,2022-07-24 05:29:33,-0.7393,-90.3518,69.55,92,63,7.0,broken clouds,0.0,0.0
3,Mildura,AU,2022-07-24 05:30:07,-34.2,142.15,69.85,42,17,14.81,few clouds,0.0,0.0
4,Bathsheba,BB,2022-07-24 05:31:20,13.2167,-59.5167,81.21,86,20,16.11,few clouds,0.0,0.0
5,Samalkot,IN,2022-07-24 05:31:21,17.05,82.1833,88.18,62,94,12.44,overcast clouds,0.0,0.0
6,Fortuna,US,2022-07-24 05:30:29,40.5982,-124.1573,57.34,83,11,1.81,few clouds,0.0,0.0
7,Barrow,US,2022-07-24 05:30:03,71.2906,-156.7887,37.42,87,100,10.36,mist,0.0,0.0
8,Iracoubo,GF,2022-07-24 05:31:22,5.4802,-53.2011,76.21,89,97,7.18,overcast clouds,0.0,0.0
9,Pisco,PE,2022-07-24 05:31:23,-13.7,-76.2167,60.85,82,100,5.75,mist,0.0,0.0
10,Hendersonville,US,2022-07-24 05:31:23,36.3048,-86.62,83.28,77,2,4.03,clear sky,0.0,0.0
11,Geraldton,AU,2022-07-24 05:29:54,-28.7667,114.6,63.01,63,2,9.22,clear sky,0.0,0.0
12,Cape Town,ZA,2022-07-24 05:27:58,-33.9258,18.4232,53.91,72,0,9.22,clear sky,0.0,0.0
13,Soderhamn,SE,2022-07-24 05:31:24,61.3037,17.0592,63.75,57,86,2.98,overcast clouds,0.0,0.0
14,Kodiak,US,2022-07-24 05:30:32,57.79,-152.4072,51.31,93,100,18.41,light rain,0.0,0.0
15,Lagoa,PT,2022-07-24 05:31:24,39.05,-27.9833,71.89,92,2,10.4,clear sky,0.0,0.0
16,Tessalit,ML,2022-07-24 05:31:25,20.1986,1.0114,80.37,50,70,20.11,broken clouds,0.0,0.0
17,Hasaki,JP,2022-07-24 05:30:12,35.7333,140.8333,80.29,77,83,20.07,broken clouds,0.0,0.0
18,Tasiilaq,GL,2022-07-24 05:29:34,65.6145,-37.6368,35.31,91,75,9.17,broken clouds,0.0,0.0
19,Alofi,NU,2022-07-24 05:31:25,-19.0595,-169.9187,71.49,68,91,9.22,overcast clouds,0.0,0.0
20,Punta Arenas,CL,2022-07-24 05:29:21,-53.15,-70.9167,32.11,86,0,6.91,clear sky,0.0,0.0
21,Kasimov,RU,2022-07-24 05:31:26,54.9411,41.3953,75.78,58,6,4.23,clear sky,0.0,0.0
22,Salinas,US,2022-07-24 05:30:33,36.6777,-121.6555,56.98,85,100,10.36,mist,0.0,0.0
23,Asau,RO,2022-07-24 05:31:26,46.4333,26.4,69.28,36,27,2.17,scattered clouds,0.0,0.0
24,Baripada,IN,2022-07-24 05:31:27,21.935,86.7214,86.86,70,98,8.48,light rain,0.0,0.0
