City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-07-12 01:41:28,55.7435,-97.8558,62.76,77,75,5.75
1,Dikson,RU,2022-07-12 01:41:29,73.5069,80.5464,37.6,93,100,6.71
2,Torbay,CA,2022-07-12 01:41:29,47.6666,-52.7314,60.53,65,75,16.11
3,Rikitea,PF,2022-07-12 01:41:29,-23.1203,-134.9692,74.71,73,0,12.24
4,Bengkulu,ID,2022-07-12 01:38:05,-3.8004,102.2655,79.95,76,41,2.13
5,Barrow,US,2022-07-12 01:39:11,71.2906,-156.7887,37.42,87,100,11.5
6,Port Blair,IN,2022-07-12 01:41:30,11.6667,92.75,84.24,79,100,12.66
7,Atuona,PF,2022-07-12 01:40:20,-9.8,-139.0333,77.43,75,18,16.67
8,Bluff,NZ,2022-07-12 01:41:31,-46.6,168.3333,45.81,79,100,23.13
9,Hermanus,ZA,2022-07-12 01:41:31,-34.4187,19.2345,54.81,79,0,6.71
10,Khatanga,RU,2022-07-12 01:41:32,71.9667,102.5,37.22,97,100,12.3
11,Mataura,NZ,2022-07-12 01:41:32,-46.1927,168.8643,45.48,90,100,10.16
12,Saskylakh,RU,2022-07-12 01:41:33,71.9167,114.0833,43.65,66,100,16.69
13,Tazovskiy,RU,2022-07-12 01:41:33,67.4667,78.7,49.82,64,13,9.69
14,Jiaxing,CN,2022-07-12 01:41:33,30.7522,120.75,95.38,58,100,7.14
15,Havoysund,NO,2022-07-12 01:41:34,70.9963,24.6622,48.43,76,9,3.51
16,Clyde River,CA,2022-07-12 01:41:11,70.4692,-68.5914,41.23,93,100,18.41
17,Port Lincoln,AU,2022-07-12 01:41:34,-34.7333,135.8667,57.97,62,20,15.84
18,Bandar-E Lengeh,IR,2022-07-12 01:41:35,26.5579,54.8807,90.93,71,98,4.65
19,Mackay,AU,2022-07-12 01:41:35,-21.15,149.2,69.67,79,100,10.31
20,Punta Arenas,CL,2022-07-12 01:36:55,-53.15,-70.9167,30.31,80,75,9.22
21,Upernavik,GL,2022-07-12 01:41:36,72.7868,-56.1549,38.91,85,25,5.03
22,Puerto Escondido,MX,2022-07-12 01:38:02,15.85,-97.0667,81.36,84,98,7.18
23,Toamasina,MG,2022-07-12 01:41:36,-18.1667,49.3833,64.4,94,40,6.91
24,Vaini,TO,2022-07-12 01:41:37,-21.2,-175.2,80.76,74,20,11.5
25,Airai,TL,2022-07-12 01:41:37,-8.9266,125.4092,64.83,67,74,3.38
26,Butaritari,KI,2022-07-12 01:41:37,3.0707,172.7902,81.93,80,79,16.71
27,Busselton,AU,2022-07-12 01:41:38,-33.65,115.3333,59.59,77,82,11.14
28,Buala,SB,2022-07-12 01:41:38,-8.145,159.5921,85.44,65,18,7.43
29,Yellowknife,CA,2022-07-12 01:41:39,62.456,-114.3525,73.92,49,40,11.5
30,New Norfolk,AU,2022-07-12 01:41:39,-42.7826,147.0587,53.92,65,35,1.32
31,Berdigestyakh,RU,2022-07-12 01:41:39,62.0989,126.6992,63.77,74,99,2.77
32,Port Alfred,ZA,2022-07-12 01:41:40,-33.5906,26.891,56.62,72,0,9.13
33,Longyan,CN,2022-07-12 01:41:40,25.1072,117.0225,89.83,59,75,2.71
34,Puerto Ayora,EC,2022-07-12 01:41:41,-0.7393,-90.3518,70.56,88,44,5.99
35,Hobart,AU,2022-07-12 01:41:41,-42.8794,147.3294,54.27,79,77,3.49
36,Bredasdorp,ZA,2022-07-12 01:41:41,-34.5322,20.0403,48.16,85,1,5.41
37,Katima Mulilo,NA,2022-07-12 01:41:42,-17.5,24.2667,54.23,54,4,4.76
38,Dauriya,RU,2022-07-12 01:41:42,49.9333,116.8667,64.15,82,100,3.69
39,Hofn,IS,2022-07-12 01:41:43,64.2539,-15.2082,52.81,82,100,13.44
